id,identifica,bouwjaar,status,gebruiksdo,oppervlakt,oppervla_1,aantal_ver,geometry
pand.952879,518100000213172,1958,Sloopvergunning verleend,"industriefunctie, kantoorfunctie, sportfunctie",441,2420,3,"POLYGON Z ((83057.493 454041.048 0, 83047.933 454036.285 0, 83043.74000000001 454034.178 0, 83043.986 454033.686 0, 83038.7 454031.046 0, 83038.45299999999 454031.528 0, 83033.557 454029.102 0, 83024.69100000001 454024.659 0, 83019.514 454022.078 0, 83019.557 454021.988 0, 83018.99400000001 454021.723 0, 83018.91099999999 454021.912 0, 83012.389 454018.666 0, 83012.81 454017.391 0, 82995.086 454011.571 0, 82994.518 454012.546 0, 82993.092 454015.177 0, 82991.17999999999 454018.655 0, 82990.636 454019.64 0, 82989.901 454020.97 0, 82989.379 454021.915 0, 82988.629 454023.272 0, 82988.126 454024.182 0, 82987.386 454025.521 0, 82986.863 454026.467 0, 82986.12300000001 454027.806 0, 82985.606 454028.742 0, 82984.871 454030.073 0, 82984.44500000001 454030.843 0, 82983.38099999999 454032.767 0, 82983.29700000001 454032.92 0, 82983.20600000001 454033.084 0, 82983.363 454033.177 0, 83025.776 454054.306 0, 83027.242 454055.043 0, 83038.97900000001 454060.921 0, 83039.139 454061.001 0, 83039.198 454060.882 0, 83027.462 454055.081 0, 83029.17200000001 454051.855 0, 83050 454062.245 0, 83065.431 454069.868 0, 83072.686 454055.23 0, 83072.899 454054.801 0, 83075.353 454049.853 0, 83074.819 454049.585 0, 83074.774 454049.674 0, 83057.493 454041.048 0))"
pand.9266847,1621100000001541,1961,Sloopvergunning verleend,woonfunctie,203,203,1,"POLYGON Z ((94928.655 445201.4 0, 94916.683 445197.52 0, 94914.28599999999 445204.916 0, 94926.258 445208.796 0, 94928.655 445201.4 0))"
pand.9267036,1621100000001749,1987,Sloopvergunning verleend,woonfunctie,154,154,1,"POLYGON Z ((91154.526 445548.907 0, 91151.727 445540.935 0, 91140.476 445544.884 0, 91143.27499999999 445552.856 0, 91154.526 445548.907 0))"
pand.9267037,1621100000001750,1968,Sloopvergunning verleend,woonfunctie,150,150,1,"POLYGON Z ((91131.054 445552 0, 91129.61900000001 445547.999 0, 91123.977 445550.04 0, 91125.337 445553.801 0, 91115.228 445557.457 0, 91117.768 445564.483 0, 91131.836 445559.396 0, 91129.38099999999 445552.606 0, 91131.054 445552 0))"
pand.9267149,1621100000001864,1961,Sloopvergunning verleend,None,0,0,0,"POLYGON Z ((94925.389 445210.321 0, 94923.77099999999 445215.679 0, 94929.368 445217.369 0, 94930.986 445212.011 0, 94925.389 445210.321 0))"
pand.9268611,1621100000003460,1970,Sloopvergunning verleend,woonfunctie,127,127,1,"POLYGON Z ((93521.727 448558.675 0, 93521.64599999999 448548.578 0, 93511.24400000001 448548.662 0, 93511.302 448555.909 0, 93516.06299999999 448555.871 0, 93516.086 448558.72 0, 93521.727 448558.675 0))"
pand.9268808,1621100000003673,1950,Sloopvergunning verleend,None,0,0,0,"POLYGON Z ((92887.88400000001 447542.055 0, 92882.481 447540.376 0, 92884.43799999999 447533.751 0, 92880.99800000001 447532.637 0, 92878.712 447539.206 0, 92878.666 447539.191 0, 92874.334 447553.135 0, 92883.552 447556 0, 92887.88400000001 447542.055 0))"
pand.9268891,1621100000003759,1958,Sloopvergunning verleend,None,0,0,0,"POLYGON Z ((92848.363 445658.269 0, 92850.81 445656.779 0, 92853.14599999999 445655.352 0, 92850.913 445651.521 0, 92846.77899999999 445654.048 0, 92846.22100000001 445654.379 0, 92848.363 445658.269 0))"
pand.3966098,503100000025553,1930,Sloopvergunning verleend,"onderwijsfunctie, sportfunctie",893,1005,2,"POLYGON Z ((85814.019 446899.773 0, 85807.806 446900.327 0, 85807.64 446898.872 0, 85807.183 446898.924 0, 85806.94899999999 446896.882 0, 85806.64 446896.911 0, 85806.671 446897.24 0, 85803.534 446897.534 0, 85803.504 446897.206 0, 85803.185 446897.236 0, 85803.379 446899.297 0, 85800.07399999999 446899.591 0, 85799.92 446898.104 0, 85799.662 446898.127 0, 85799.681 446898.346 0, 85795.21000000001 446898.75 0, 85795.19 446898.531 0, 85794.921 446898.555 0, 85795.352 446903.279 0, 85795.611 446903.256 0, 85795.591 446903.036 0, 85796.409 446902.97 0, 85799.253 446934.271 0, 85810.815 446933.221 0, 85809.40399999999 446917.695 0, 85832.682 446915.228 0, 85833.234 446913.92 0, 85860.664 446925.515 0, 85864.75999999999 446915.834 0, 85865.18399999999 446914.831 0, 85835.561 446902.31 0, 85835.872 446901.552 0, 85836.065 446901.633 0, 85836.16899999999 446901.384 0, 85830.474 446899.011 0, 85830.069 446899.969 0, 85827.47100000001 446898.873 0, 85828.22100000001 446897.072 0, 85827.272 446896.671 0, 85827.401 446896.367 0, 85827.014 446896.203 0, 85826.886 446896.507 0, 85820.762 446893.913 0, 85820.887 446893.619 0, 85820.49099999999 446893.451 0, 85820.36599999999 446893.746 0, 85819.408 446893.34 0, 85816.989 446899.07 0, 85813.99000000001 446899.334 0, 85814.019 446899.773 0))"
pand.2688039,518100000301820,1980,Sloopvergunning verleend,winkelfunctie,43,43,1,"POLYGON Z ((74968.24000000001 453949.844 0, 74969.106 453949.099 0, 74968.389 453948.281 0, 74965.43399999999 453944.696 0, 74964.542 453945.44 0, 74958.215 453950.717 0, 74959.067 453951.726 0, 74959.208 453951.609 0, 74962.22 453955.161 0, 74968.353 453949.983 0, 74968.24000000001 453949.844 0))"
